id,zip_type,city,valid_from,onrp,communitynumber_bfs,country_id/id,sort,lang,additional_digit,post_delivery_through,state_id/id,name
npa_8212 Nohl,20,Nohl,2006-01-01,6133,34,base.ch,1,1,4,4562,l10n_ch_states.state_ZH,8212
npa_8471 Dgerlen,20,Dägerlen,2003-02-01,6134,214,base.ch,1,1,2,4749,l10n_ch_states.state_ZH,8471
zip_6136,80,Gaiserwald,2006-06-01,6136,3442,base.ch,0,1,2,6519,l10n_ch_states.state_SG,9030
npa_9122 Ebersol,20,Ebersol,2009-05-01,6137,3378,base.ch,1,1,2,5269,l10n_ch_states.state_SG,9122
zip_6141,30,Baar,2013-09-01,6141,1701,base.ch,0,1,0,6141,l10n_ch_states.state_ZG,6341
npa_6900 Paradiso,20,Paradiso,1996-06-11,6144,5210,base.ch,1,3,9,3837,l10n_ch_states.state_TI,6900
npa_1754 Avry-sur-Matran,20,Avry-sur-Matran,1998-08-01,6146,2174,base.ch,0,2,4,986,l10n_ch_states.state_FR,1754
npa_1783 Barberche,20,Barberêche,2003-11-01,6147,2243,base.ch,0,2,4,1037,l10n_ch_states.state_FR,1783
npa_1774 Montagny-les-Monts,20,Montagny-les-Monts,1996-09-05,6148,2029,base.ch,0,2,2,1015,l10n_ch_states.state_FR,1774
zip_6149,30,Morges 3,1989-11-06,6149,5642,base.ch,0,2,3,6149,l10n_ch_states.state_VD,1110
zip_6154,40,St. Gallen Sonderdienste,2009-04-01,6154,3203,base.ch,0,1,0,5204,l10n_ch_states.state_SG,9029
npa_1585 Bellerive VD,20,Bellerive VD,1996-09-04,6155,5464,base.ch,0,2,2,764,l10n_ch_states.state_VD,1585
npa_2052 La Vue-des-Alpes,20,La Vue-des-Alpes,2002-08-01,6156,6487,base.ch,1,2,2,1311,l10n_ch_states.state_NE,2052
npa_3656 Ringoldswil,20,Ringoldswil,1990-01-01,6157,938,base.ch,0,1,2,2151,l10n_ch_states.state_BE,3656
npa_4922 Thunstetten,20,Thunstetten,1996-09-12,6165,342,base.ch,1,1,2,7296,l10n_ch_states.state_BE,4922
zip_6166,30,Fribourg,1996-09-05,6166,2196,base.ch,0,2,0,6166,l10n_ch_states.state_FR,1709
zip_6167,80,Yverdon,2012-05-01,6167,5938,base.ch,0,2,3,6257,l10n_ch_states.state_VD,1400
zip_6168,30,Pizolpark (Mels),2005-03-01,6168,3293,base.ch,0,1,0,6168,l10n_ch_states.state_SG,8879
npa_1195 Bursinel,20,Bursinel,1990-07-01,6177,5852,base.ch,0,2,3,7164,l10n_ch_states.state_VD,1195
zip_6179,40,Nottwil Paraplegikerzentrum,2003-03-01,6179,1094,base.ch,0,1,2,3342,l10n_ch_states.state_LU,6207
zip_6183,80,Bern Radio Schweiz,2008-01-01,6183,351,base.ch,0,1,88,8837,l10n_ch_states.state_BE,3000
npa_3900 Brigerbad,20,Brigerbad,2006-08-01,6185,6002,base.ch,0,1,3,5495,l10n_ch_states.state_VS,3900
npa_8118 Pfaffhausen,20,Pfaffhausen,2013-03-01,6186,193,base.ch,1,1,0,4508,l10n_ch_states.state_ZH,8118
zip_6191,80,Lenzburg Sonderdienste,2009-04-01,6191,4201,base.ch,0,1,0,7189,l10n_ch_states.state_AG,5601
npa_1428 Provence,20,Provence,1991-04-17,6192,5566,base.ch,0,2,1,6257,l10n_ch_states.state_VD,1428
npa_2715 Chtelat,20,Châtelat,1991-04-17,6193,684,base.ch,0,2,1,7656,l10n_ch_states.state_BE,2715
npa_1091 Chenaux,20,Chenaux,2013-03-01,6194,5613,base.ch,1,2,3,7649,l10n_ch_states.state_VD,1091
zip_6196,40,St. Gallen,1994-01-03,6196,3203,base.ch,0,1,0,5219,l10n_ch_states.state_SG,9028
zip_6197,40,St. Gallen Mona Versand,1997-09-19,6197,3203,base.ch,0,1,0,5219,l10n_ch_states.state_SG,9027
zip_6201,40,Vevey Services spéciaux,1998-03-02,6201,5890,base.ch,0,2,0,1044,l10n_ch_states.state_VD,1811
npa_6600 Solduno,20,Solduno,2005-11-01,6203,5113,base.ch,1,3,4,3621,l10n_ch_states.state_TI,6600
zip_6204,80,Marly Grand Pré,2013-10-01,6204,2206,base.ch,0,2,2,926,l10n_ch_states.state_FR,1723
zip_6205,40,Thun,2005-06-01,6205,942,base.ch,0,1,0,2101,l10n_ch_states.state_BE,3609
zip_6206,30,Marly 1,1996-09-05,6206,2206,base.ch,0,2,1,6206,l10n_ch_states.state_FR,1723
npa_6363 Brgenstock,20,Bürgenstock,2004-06-01,6216,1510,base.ch,1,1,2,7215,l10n_ch_states.state_NW,6363
npa_8832 Wilen b Wollerau,20,Wilen b. Wollerau,1996-08-06,6218,1322,base.ch,1,1,2,7702,l10n_ch_states.state_SZ,8832
npa_1754 Avry-Centre FR,30,Avry-Centre FR,2014-06-01,6219,2174,base.ch,0,2,5,986,l10n_ch_states.state_FR,1754
npa_5316 Felsenau AG,20,Felsenau AG,1992-06-19,6220,4313,base.ch,0,1,2,3038,l10n_ch_states.state_AG,5316
npa_1775 Mannens,20,Mannens,1996-09-05,6221,2029,base.ch,0,2,2,1015,l10n_ch_states.state_FR,1775
npa_1775 Grandsivaz,20,Grandsivaz,1996-09-05,6222,2029,base.ch,0,2,3,1015,l10n_ch_states.state_FR,1775
zip_6224,40,Genève 14,2008-12-01,6224,6621,base.ch,0,2,14,381,l10n_ch_states.state_GE,1211
npa_8926 Hauptikon,20,Hauptikon,1992-09-23,6226,6,base.ch,0,1,2,5148,l10n_ch_states.state_ZH,8926
npa_8926 Uerzlikon,20,Uerzlikon,1992-09-23,6227,6,base.ch,0,1,3,5148,l10n_ch_states.state_ZH,8926
zip_6228,80,Zürich Corona,1993-09-08,6228,261,base.ch,0,1,65,4415,l10n_ch_states.state_ZH,8036
npa_1026 Echandens,20,Echandens,1998-08-01,6230,5633,base.ch,1,2,3,6256,l10n_ch_states.state_VD,1026
zip_6231,80,Nyon car postal La Côte-Ju,1996-02-26,6231,5724,base.ch,0,2,76,473,l10n_ch_states.state_VD,1260
zip_6232,80,Yverdon car postal VD-Broye,1996-02-26,6232,5938,base.ch,0,2,76,593,l10n_ch_states.state_VD,1400
zip_6233,80,Sion car postal VS-Léman,1996-08-06,6233,6266,base.ch,0,2,76,1203,l10n_ch_states.state_VS,1951
zip_6234,80,Brig Postauto Oberwallis,1996-09-02,6234,6002,base.ch,0,1,76,5495,l10n_ch_states.state_VS,3900
zip_6235,80,Zürich Postauto Zürich,1996-02-26,6235,261,base.ch,0,1,76,7303,l10n_ch_states.state_ZH,8050
zip_6236,80,Frauenfeld Postauto TG-SH,1996-08-06,6236,4566,base.ch,0,1,76,4808,l10n_ch_states.state_TG,8500
npa_5405 Dttwil AG,20,Dättwil AG,1993-12-23,6237,4021,base.ch,1,1,2,6552,l10n_ch_states.state_AG,5405
npa_5406 Rtihof,20,Rütihof,1993-12-23,6238,4021,base.ch,1,1,2,3074,l10n_ch_states.state_AG,5406
npa_8106 Adlikon bRegensdf,20,Adlikon b. Regensdorf,1993-02-05,6239,96,base.ch,1,1,2,7255,l10n_ch_states.state_ZH,8106
zip_6240,80,Rorschach Zustellung,1999-04-08,6240,3215,base.ch,0,1,60,6240,l10n_ch_states.state_SG,9400
npa_6343 Buonas,20,Buonas,1996-03-04,6241,1707,base.ch,1,1,2,7213,l10n_ch_states.state_ZG,6343
npa_6343 Risch,20,Risch,1996-03-04,6242,1707,base.ch,1,1,3,7213,l10n_ch_states.state_ZG,6343
npa_6343 Holzhusern,20,Holzhäusern,1996-03-04,6243,1707,base.ch,1,1,4,7213,l10n_ch_states.state_ZG,6343
npa_3945 Niedergampel,20,Niedergampel,2008-05-01,6244,6118,base.ch,1,1,1,8441,l10n_ch_states.state_VS,3945
npa_1965 Drne VS,20,Drône (Savièse),1999-05-15,6245,6265,base.ch,1,2,8,8040,l10n_ch_states.state_VS,1965
zip_6256,80,Morges Distribution,2003-10-01,6256,5638,base.ch,0,2,60,6256,l10n_ch_states.state_VD,1110
zip_6257,80,Yverdon Distribution,2003-01-01,6257,5938,base.ch,0,2,60,6257,l10n_ch_states.state_VD,1400
npa_3415 Regsauschachen,20,Rüegsauschachen,2002-06-01,6258,956,base.ch,1,1,3,7675,l10n_ch_states.state_BE,3415
npa_3415 Hasle b Burgdorf,20,Hasle b. Burgdorf,2004-01-01,6259,406,base.ch,1,1,1,7675,l10n_ch_states.state_BE,3415
npa_6363 Frigen,20,Fürigen,2003-06-01,6260,1510,base.ch,1,1,1,7215,l10n_ch_states.state_NW,6363
npa_6410 Rigi Scheidegg,20,Rigi Scheidegg,1999-03-24,6269,1362,base.ch,1,1,5,7206,l10n_ch_states.state_SZ,6410
npa_4571 Lterkofen,20,Lüterkofen,2005-02-01,6274,2455,base.ch,1,1,1,2716,l10n_ch_states.state_SO,4571
zip_6279,30,Luchsingen-Hätzingen,2009-10-01,6279,1631,base.ch,0,1,0,6279,l10n_ch_states.state_GL,8775
zip_6283,40,Zürich,1997-03-10,6283,261,base.ch,0,1,0,4393,l10n_ch_states.state_ZH,8070
zip_6284,40,Zürich CS PZ,1996-12-13,6284,261,base.ch,0,1,0,4393,l10n_ch_states.state_ZH,8071
zip_6285,80,Bulle,1997-01-22,6285,2125,base.ch,0,2,0,7403,l10n_ch_states.state_FR,1631
zip_6287,40,Bern,1995-09-20,6287,351,base.ch,0,1,0,9004,l10n_ch_states.state_BE,3040
zip_6288,40,Basel,1997-09-25,6288,2769,base.ch,0,1,2,6288,l10n_ch_states.state_BL,4040
zip_6291,40,Luzern,1996-04-11,6291,1061,base.ch,0,1,0,3215,l10n_ch_states.state_LU,6007
zip_6293,40,Netstal,1997-02-24,6293,1632,base.ch,0,1,0,7706,l10n_ch_states.state_GL,8759
zip_6295,40,St. Gallen,1996-04-11,6295,3203,base.ch,0,1,0,5204,l10n_ch_states.state_SG,9020
zip_6297,80,Bellinzona centro servici,1995-12-06,6297,5002,base.ch,0,3,65,3545,l10n_ch_states.state_TI,6500
npa_8268 Salenstein,20,Salenstein,2008-09-01,6347,4851,base.ch,1,1,2,4628,l10n_ch_states.state_TG,8268
npa_8522 Aawangen,20,Aawangen,2009-05-01,6349,4551,base.ch,1,1,2,4672,l10n_ch_states.state_TG,8522
npa_9503 Lanterswil,20,Lanterswil,2008-06-01,6351,4921,base.ch,1,1,2,5446,l10n_ch_states.state_TG,9503
npa_8574 Oberhofen TG,20,Oberhofen TG,2012-08-01,6352,4683,base.ch,1,1,2,7241,l10n_ch_states.state_TG,8574
