id,zip_type,city_id/id,valid_from,onrp,communitynumber_bfs,sort,lang,additional_digit,post_delivery_through,name
npa_1000 Lausanne,20,ch_city_lausanne,1988-03-01,104,5586,0,2,0,130,1000
zip_105,80,ch_city_lausanne_1_depot,2005-04-01,105,5586,0,2,1,130,1000
zip_106,80,ch_city_lausanne_2,2008-01-01,106,5586,0,2,2,149,1000
zip_107,30,ch_city_lausanne_3,1986-05-21,107,5586,0,2,3,107,1000
zip_110,80,ch_city_lausanne_ouchy,2014-04-01,110,5586,0,2,6,130,1000
zip_111,30,ch_city_lausanne_7,1993-09-28,111,5586,0,2,7,111,1000
zip_112,30,ch_city_lausanne_8,1997-05-20,112,5586,0,2,8,112,1000
zip_114,30,ch_city_lausanne_12,1994-06-21,114,5586,0,2,12,114,1000
zip_116,30,ch_city_lausanne_14,1992-02-10,116,5586,0,2,14,116,1000
zip_117,30,ch_city_lausanne_16,1986-05-21,117,5586,0,2,16,117,1000
zip_118,80,ch_city_lausanne_17,2006-06-01,118,5586,0,2,17,130,1000
zip_119,80,ch_city_lausanne_19,2004-05-01,119,5586,0,2,19,130,1000
zip_120,30,ch_city_lausanne_20,1993-09-06,120,5586,0,2,20,120,1000
zip_121,30,ch_city_lausanne_21,1986-05-21,121,5586,0,2,21,121,1000
zip_122,30,ch_city_lausanne_22,1986-05-21,122,5586,0,2,22,122,1000
zip_123,30,ch_city_lausanne_23,1991-06-27,123,5586,0,2,23,123,1000
zip_124,80,ch_city_lausanne_24_vennes,2006-06-01,124,5586,0,2,24,130,1000
npa_1000 Lausanne 25,20,ch_city_lausanne_25,2012-10-01,125,5586,1,2,25,7496,1000
npa_1000 Lausanne 26,10,ch_city_lausanne_26,1986-05-21,126,5586,1,2,26,126,1000
npa_1000 Lausanne 27,20,ch_city_lausanne_27,1997-07-28,127,5586,1,2,27,126,1000
zip_130,80,ch_city_lausanne_distribution,1998-03-18,130,5586,0,2,60,130,1000
zip_132,40,ch_city_lausanne_swisscom,2003-05-01,132,5586,0,2,65,122,1000
