id,zip_type,city_id/id,valid_from,onrp,communitynumber_bfs,sort,lang,additional_digit,post_delivery_through,name
zip_145,30,ch_city_lausanne,1998-03-18,145,5586,0,2,1,145,1001
zip_149,30,ch_city_lausanne,1999-10-25,149,5586,0,2,0,149,1002
npa_1003 Lausanne,20,ch_city_lausanne,1986-05-21,150,5586,1,2,0,130,1003
npa_1004 Lausanne,20,ch_city_lausanne,1986-05-21,151,5586,1,2,0,130,1004
npa_1005 Lausanne,20,ch_city_lausanne,1986-05-21,152,5586,1,2,0,130,1005
npa_1006 Lausanne,20,ch_city_lausanne,1986-05-21,153,5586,1,2,0,130,1006
npa_1007 Lausanne,20,ch_city_lausanne,1986-05-21,154,5586,1,2,0,130,1007
npa_1008 Prilly,10,ch_city_prilly,1996-06-10,156,5589,1,2,0,130,1008
npa_1009 Pully,10,ch_city_pully,1996-06-10,157,5590,1,2,0,130,1009
npa_1010 Lausanne,20,ch_city_lausanne,2012-06-01,158,5586,1,2,0,130,1010
npa_1011 Lausanne,20,ch_city_lausanne,2009-04-01,159,5586,1,2,0,159,1011
npa_1012 Lausanne,20,ch_city_lausanne,1986-05-21,160,5586,1,2,0,130,1012
zip_162,40,ch_city_lausanne_adm_cant_vd,2010-03-01,162,5586,0,2,0,130,1014
npa_1015 Lausanne,10,ch_city_lausanne,2004-04-01,163,5635,1,2,0,130,1015
npa_1018 Lausanne,20,ch_city_lausanne,2012-06-01,164,5586,1,2,0,130,1018
npa_1020 Renens VD,20,ch_city_renens_vd,1991-12-03,165,5591,1,2,0,7248,1020
zip_166,30,ch_city_renens_vd_1,1996-06-10,166,5591,0,2,1,166,1020
zip_167,30,ch_city_renens_vd_2,1996-06-10,167,5591,0,2,2,167,1020
npa_1022 Chavannes-Renens,10,ch_city_chavannes_pres_renens,1996-06-10,168,5627,1,2,0,7248,1022
npa_1023 Crissier,20,ch_city_crissier,2001-09-12,169,5583,1,2,0,7172,1023
npa_1024 Ecublens VD,10,ch_city_ecublens_vd,1986-05-21,170,5635,1,2,0,7172,1024
npa_1025 St-Sulpice VD,10,ch_city_st_sulpice_vd,1986-05-21,171,5648,1,2,0,7248,1025
zip_173,30,ch_city_echandens_denges,2005-03-01,173,5633,0,2,0,173,1026
npa_1027 Lonay,10,ch_city_lonay,1993-04-27,174,5638,1,2,0,6256,1027
npa_1028 Prverenges,10,ch_city_preverenges,1986-05-21,175,5643,1,2,0,6256,1028
npa_1030 Bussigny-Lausanne,10,ch_city_bussigny,1989-03-08,178,5624,1,2,0,7171,1030
npa_1032 Romanel-s-Lausanne,10,ch_city_romanel_sur_lausanne,1999-09-08,179,5592,1,2,0,7497,1032
npa_1033 Cheseaux-Lausanne,10,ch_city_cheseaux_sur_lausanne,1989-03-29,180,5582,1,2,0,7497,1033
npa_1037 Etagnires,10,ch_city_etagnieres,2008-07-01,182,5521,1,2,0,7497,1037
npa_1038 Bercher,10,ch_city_bercher,1986-05-21,183,5512,0,2,0,183,1038
npa_1040 Echallens,10,ch_city_echallens,1996-08-06,185,5518,1,2,0,7670,1040
npa_1040 St-Barthlemy VD,20,ch_city_st_barthelemy_vd,2002-11-01,191,5535,0,2,3,7670,1040
npa_1377 Oulens-Echallens,20,ch_city_oulens_sous_echallens,2002-11-01,192,5529,0,2,0,7670,1377
npa_1042 Bettens,20,ch_city_bettens,2001-09-06,193,5471,0,2,4,208,1042
npa_1040 Villars-le-Terroir,20,ch_city_villars_le_terroir,1999-12-09,194,5537,1,2,2,7670,1040
npa_1417 Epautheyres,20,ch_city_epautheyres,1990-05-01,195,5520,0,2,2,6257,1417
npa_1041 Dommartin,20,ch_city_dommartin,2009-02-01,196,5540,1,2,21,7670,1041
npa_1063 Peyres-Possens,20,ch_city_peyres_possens,2001-08-13,197,5693,0,2,4,7661,1063
npa_1063 Boulens,20,ch_city_boulens,2001-08-13,198,5661,0,2,3,7661,1063
npa_1041 Poliez-le-Grand,10,ch_city_poliez_le_grand,2013-04-01,199,5540,1,2,31,7670,1041
npa_1041 Poliez-Pittet,20,ch_city_poliez_pittet,2013-04-01,200,5533,1,2,32,7670,1041
npa_1041 Bottens,20,ch_city_bottens,2013-04-01,201,5514,1,2,33,7670,1041
npa_1053 Bretigny-Morrens,20,ch_city_bretigny_sur_morrens,2002-02-01,202,5515,0,2,2,7650,1053
npa_1034 Boussens,20,ch_city_boussens,2008-07-01,205,5473,1,2,0,7171,1034
npa_1035 Bournens,20,ch_city_bournens,2008-07-01,206,5472,1,2,0,7171,1035
npa_1036 Sullens,10,ch_city_sullens,2002-04-01,207,5501,1,2,0,7171,1036
npa_1042 Assens,10,ch_city_assens,1996-08-06,208,5511,0,2,0,208,1042
npa_1043 Sugnens,20,ch_city_sugnens,2005-10-01,209,5540,0,2,0,7670,1043
npa_1044 Fey,20,ch_city_fey,2006-12-01,210,5522,0,2,0,183,1044
npa_1045 Ogens,20,ch_city_ogens,2002-02-01,211,5680,0,2,0,183,1045
npa_1407 Bioley-Magnoux,20,ch_city_bioley_magnoux,2000-06-01,212,5903,0,2,4,6257,1407
npa_1042 Bioley-Orjulaz,20,ch_city_bioley_orjulaz,2002-12-01,213,5513,0,2,3,208,1042
npa_1052 Mont-sur-Lausanne,10,ch_city_le_mont_sur_lausanne,1986-05-21,214,5587,1,2,0,7650,1052
npa_1053 Cugy VD,10,ch_city_cugy_vd,1992-04-27,215,5516,1,2,0,7650,1053
npa_1054 Morrens VD,10,ch_city_morrens_vd,1986-05-21,216,5527,0,2,0,7497,1054
npa_1055 Froideville,10,ch_city_froideville,1986-05-21,217,5523,0,2,0,217,1055
npa_1410 Thierrens,10,ch_city_thierrens,1989-06-01,219,5693,0,2,0,6257,1410
npa_1066 Epalinges,10,ch_city_epalinges,1998-10-19,221,5584,1,2,0,7496,1066
npa_1073 Savigny,10,ch_city_savigny,1993-07-21,222,5611,1,2,0,789,1073
npa_1083 Mzires VD,10,ch_city_mezieres_vd,1996-08-06,223,5791,0,2,0,223,1083
npa_1092 Belmont-Lausanne,10,ch_city_belmont_sur_lausanne,1996-04-24,224,5581,1,2,0,224,1092
npa_1093 La Conversion,20,ch_city_la_conversion,2006-11-01,225,5606,1,2,0,7649,1093
npa_1094 Paudex,10,ch_city_paudex,1986-05-21,226,5588,1,2,0,7649,1094
npa_1095 Lutry,10,ch_city_lutry,1996-06-10,227,5606,1,2,0,7649,1095
npa_1096 Cully,10,ch_city_cully,1986-05-21,228,5613,1,2,0,7649,1096
npa_1097 Riex,20,ch_city_riex,2000-05-15,229,5613,1,2,0,7649,1097
npa_1098 Epesses,20,ch_city_epesses,2002-03-01,230,5613,0,2,0,7649,1098
npa_1058 Villars-Tiercelin,20,ch_city_villars_tiercelin,2001-12-01,233,5804,0,2,0,7670,1058
npa_1059 Peney-le-Jorat,20,ch_city_peney_le_jorat,2013-03-01,234,5804,0,2,0,243,1059
npa_1061 Villars-Mendraz,20,ch_city_villars_mendraz,1999-07-29,235,5804,0,2,0,243,1061
npa_1062 Sottens,20,ch_city_sottens,2004-05-01,236,5804,0,2,0,243,1062
npa_1063 Chapelle-s-Moudon,20,ch_city_chapelle_sur_moudon,2009-01-01,237,5693,0,2,0,7661,1063
npa_1410 St-Cierges,20,ch_city_st_cierges,2004-10-01,238,5693,0,2,5,6257,1410
npa_1073 Mollie-Margot,20,ch_city_mollie_margot,2004-07-01,239,5611,1,2,2,789,1073
npa_1080 Les Cullayes,10,ch_city_les_cullayes,2012-11-01,240,5799,0,2,0,240,1080
npa_1081 Montpreveyres,10,ch_city_montpreveyres,1988-05-29,241,5792,0,2,0,243,1081
npa_1082 Corcelles-le-Jorat,20,ch_city_corcelles_le_jorat,2001-09-07,242,5785,0,2,0,243,1082
npa_1088 Ropraz,10,ch_city_ropraz,2012-12-01,243,5798,0,2,0,243,1088
npa_1084 Carrouge VD,10,ch_city_carrouge_vd,1996-08-06,244,5782,0,2,0,223,1084
npa_1085 Vulliens,20,ch_city_vulliens,2002-06-01,245,5803,0,2,0,223,1085
npa_1509 Vucherens,20,ch_city_vucherens,2003-05-01,246,5692,0,2,0,7661,1509
npa_1510 Syens,20,ch_city_syens,1999-10-21,247,5688,1,2,2,7661,1510
npa_1076 Ferlens VD,20,ch_city_ferlens_vd,1996-05-08,248,5789,0,2,0,223,1076
npa_1077 Servion,10,ch_city_servion,1996-08-06,249,5799,0,2,0,240,1077
npa_1078 Essertes,20,ch_city_essertes,2002-11-01,250,5788,0,2,0,240,1078
npa_1673 Auboranges,20,ch_city_auboranges,1993-09-28,251,2061,0,2,3,7663,1673
npa_1110 Morges,20,ch_city_morges,1986-05-21,254,5642,1,2,0,6256,1110
zip_255,30,ch_city_morges_1,1986-05-21,255,5642,0,2,1,255,1110
zip_256,30,ch_city_morges_2,1986-05-21,256,5642,0,2,2,256,1110
npa_1112 Echichens,10,ch_city_echichens,1988-05-29,259,5634,0,2,0,6256,1112
npa_1167 Lussy-sur-Morges,20,ch_city_lussy_sur_morges,2002-12-01,260,5640,0,2,0,8008,1167
npa_1132 Lully VD,10,ch_city_lully_vd,2012-11-01,261,5639,0,2,0,6256,1132
npa_1131 Tolochenaz,10,ch_city_tolochenaz,2001-03-01,262,5649,1,2,0,6256,1131
npa_1125 Monnaz,20,ch_city_monnaz,2001-12-01,263,5634,0,2,0,6256,1125
npa_1126 Vaux-sur-Morges,20,ch_city_vaux_sur_morges,1992-06-18,264,5650,0,2,0,290,1126
npa_1127 Clarmont,20,ch_city_clarmont,1989-06-28,265,5629,0,2,0,290,1127
npa_1128 Reverolle,20,ch_city_reverolle,2004-08-01,266,5644,0,2,0,290,1128
npa_1113 St-Saphorin-Morges,20,ch_city_st_saphorin_sur_morges,2002-07-01,267,5634,0,2,0,290,1113
npa_1114 Colombier VD,10,ch_city_colombier_vd,1988-05-29,268,5634,0,2,0,290,1114
npa_1115 Vullierens,20,ch_city_vullierens,2002-06-01,269,5654,0,2,0,290,1115
npa_1116 Cottens VD,10,ch_city_cottens_vd,1988-05-29,270,5478,0,2,0,290,1116
npa_1117 Grancy,20,ch_city_grancy,2002-08-01,271,5485,0,2,0,290,1117
npa_1304 Senarclens,20,ch_city_senarclens,2001-03-01,272,5499,1,2,4,8227,1304
npa_1121 Bremblens,20,ch_city_bremblens,2002-06-01,273,5622,0,2,0,6256,1121
npa_1122 Romanel-sur-Morges,20,ch_city_romanel_sur_morges,2014-05-01,274,5645,0,2,0,6256,1122
npa_1123 Aclens,10,ch_city_aclens,1996-08-06,275,5621,0,2,0,6256,1123
npa_1124 Gollion,20,ch_city_gollion,2004-05-01,276,5484,0,2,0,6256,1124
npa_1134 Vufflens-Chteau,20,ch_city_vufflens_le_chateau,2001-07-01,279,5653,1,2,0,6256,1134
npa_1135 Denens,20,ch_city_denens,2006-06-01,280,5631,0,2,0,290,1135
npa_1136 Bussy-Chardonney,20,ch_city_bussy_chardonney,2004-12-01,281,5625,0,2,0,290,1136
npa_1169 Yens,10,ch_city_yens,2003-07-01,282,5655,0,2,0,8008,1169
npa_1168 Villars-sous-Yens,20,ch_city_villars_sous_yens,2002-03-01,283,5652,0,2,0,8008,1168
npa_1144 Ballens,20,ch_city_ballens,2002-07-01,284,5423,0,2,0,290,1144
npa_1149 Berolle,20,ch_city_berolle,2002-03-01,285,5424,0,2,0,290,1149
npa_1146 Mollens VD,20,ch_city_mollens_vd,2002-03-01,286,5431,0,2,0,290,1146
npa_1147 Montricher,10,ch_city_montricher,1988-05-29,287,5492,0,2,0,290,1147
npa_1142 Pampigny,10,ch_city_pampigny,1988-05-29,288,5494,0,2,0,290,1142
npa_1141 Svery,20,ch_city_severy,2001-12-01,289,5500,0,2,0,290,1141
npa_1143 Apples,10,ch_city_apples,1986-05-21,290,5421,0,2,0,290,1143
npa_1145 Bire,10,ch_city_biere,1986-05-21,291,5425,0,2,0,290,1145
npa_1148 L'Isle,10,ch_city_l'isle,1998-10-27,293,5486,0,2,0,290,1148
npa_1162 St-Prex,10,ch_city_st_prex,1996-08-06,294,5646,1,2,0,8008,1162
npa_1163 Etoy,10,ch_city_etoy,2009-10-01,295,5636,1,2,0,8008,1163
npa_1164 Buchillon,20,ch_city_buchillon,2009-10-01,296,5623,0,2,0,8008,1164
npa_1165 Allaman,20,ch_city_allaman,1998-10-15,297,5851,1,2,0,299,1165
npa_1166 Perroy,10,ch_city_perroy,1986-05-21,298,5860,0,2,0,7669,1166
npa_1170 Aubonne,10,ch_city_aubonne,1993-06-10,299,5422,1,2,0,299,1170
npa_1172 Bougy-Villars,20,ch_city_bougy_villars,2007-07-01,303,5426,0,2,0,7669,1172
npa_1173 Fchy,20,ch_city_fechy,2014-04-01,304,5427,0,2,0,7669,1173
npa_1174 Montherod,20,ch_city_montherod,2004-07-01,305,5432,0,2,0,299,1174
npa_1175 Lavigny,10,ch_city_lavigny,1988-05-29,306,5637,0,2,0,299,1175
npa_1176 St-Livres,20,ch_city_st_livres,2003-11-01,307,5435,0,2,0,299,1176
npa_1180 Rolle,10,ch_city_rolle,1989-06-01,309,5861,1,2,0,7669,1180
npa_1182 Gilly,20,ch_city_gilly,2001-09-06,312,5857,0,2,0,7164,1182
npa_1183 Bursins,10,ch_city_bursins,1988-05-29,313,5853,0,2,0,7164,1183
npa_1184 Vinzel,20,ch_city_vinzel,2000-04-01,314,5863,0,2,1,7164,1184
npa_1184 Luins,20,ch_city_luins,2002-08-01,315,5858,0,2,0,7164,1184
npa_1185 Mont-sur-Rolle,10,ch_city_mont_sur_rolle,1988-05-29,316,5859,0,2,0,7669,1185
npa_1186 Essertines-Rolle,20,ch_city_essertines_sur_rolle,2003-02-01,317,5856,0,2,0,7164,1186
npa_1187 St-Oyens,20,ch_city_st_oyens,2001-12-01,318,5436,0,2,0,7164,1187
npa_1189 Saubraz,20,ch_city_saubraz,1994-12-05,319,5437,0,2,0,7164,1189
npa_1188 Gimel,10,ch_city_gimel,1986-05-21,320,5428,0,2,0,7164,1188
zip_322,30,ch_city_dully_bursinel,2006-06-01,322,5852,0,2,0,322,1195
npa_1196 Gland,10,ch_city_gland,1996-08-06,323,5721,1,2,0,7164,1196
npa_1197 Prangins,10,ch_city_prangins,1986-05-21,324,5725,1,2,0,473,1197
npa_1200 Genve,20,ch_city_geneve,1988-12-22,329,6621,0,2,0,356,1200
zip_330,80,ch_city_geneve_1,2008-01-01,330,6621,0,2,1,356,1200
zip_331,80,ch_city_geneve_2_cornavin_depot,2005-06-01,331,6621,0,2,2,356,1200
zip_332,80,ch_city_geneve_3,2008-01-01,332,6621,0,2,3,356,1200
zip_333,80,ch_city_geneve_4,2008-01-01,333,6621,0,2,4,333,1200
zip_334,80,ch_city_geneve_2_transit,2008-01-01,334,6621,0,2,5,356,1200
zip_335,80,ch_city_geneve_6,2008-01-01,335,6621,0,2,6,356,1200
zip_336,80,ch_city_geneve_7,2008-01-01,336,6621,0,2,7,356,1200
zip_337,80,ch_city_geneve_8,2008-01-01,337,6621,0,2,8,356,1200
zip_339,80,ch_city_geneve_11,2008-01-01,339,6621,0,2,11,356,1200
zip_340,80,ch_city_geneve_12,2008-01-01,340,6621,0,2,12,356,1200
zip_341,80,ch_city_geneve_13,2008-01-01,341,6621,0,2,13,356,1200
zip_343,80,ch_city_geneve_17,2008-01-01,343,6621,0,2,17,356,1200
zip_345,80,ch_city_geneve_19,2008-01-01,345,6621,0,2,19,356,1200
zip_346,80,ch_city_geneve_20,2008-01-01,346,6621,0,2,20,356,1200
zip_347,80,ch_city_geneve_21,2008-01-01,347,6621,0,2,21,356,1200
zip_350,80,ch_city_geneve_26,2008-01-01,350,6628,0,2,26,350,1200
zip_351,80,ch_city_geneve_28_balexert,2008-01-01,351,6621,0,2,28,356,1200
zip_352,80,ch_city_geneve_centre_logistique,2006-09-01,352,6621,0,2,50,352,1200
zip_356,80,ch_city_geneve_2_distribution,1998-03-19,356,6621,0,2,60,356,1200
zip_358,80,ch_city_geneve_dist_ba,1998-11-23,358,6621,0,2,70,358,1200
npa_1201 Genve,20,ch_city_geneve,1986-05-21,367,6621,1,2,0,356,1201
npa_1202 Genve,20,ch_city_geneve,1986-05-21,368,6621,1,2,0,356,1202
npa_1203 Genve,20,ch_city_geneve,1986-05-21,369,6621,1,2,0,356,1203
npa_1204 Genve,20,ch_city_geneve,1987-10-01,370,6621,1,2,0,356,1204
npa_1205 Genve,20,ch_city_geneve,1986-05-21,371,6621,1,2,0,356,1205
npa_1206 Genve,20,ch_city_geneve,1986-05-21,372,6621,1,2,0,356,1206
npa_1207 Genve,20,ch_city_geneve,1998-11-23,373,6621,1,2,0,356,1207
npa_1208 Genve,20,ch_city_geneve,1998-11-23,374,6621,1,2,0,356,1208
npa_1209 Genve,20,ch_city_geneve,1986-05-21,376,6621,1,2,0,356,1209
zip_380,30,ch_city_geneve_1,1999-09-23,380,6621,0,2,1,380,1211
zip_381,30,ch_city_geneve_2,1986-05-21,381,6621,0,2,2,381,1211
zip_382,30,ch_city_geneve_3,1999-09-23,382,6621,0,2,3,382,1211
zip_383,30,ch_city_geneve_4,1994-07-26,383,6621,0,2,4,383,1211
zip_384,30,ch_city_geneve_6,1999-09-23,384,6621,0,2,6,384,1211
zip_385,30,ch_city_geneve_7,1986-05-21,385,6621,0,2,7,385,1211
zip_386,30,ch_city_geneve_8,1986-05-21,386,6621,0,2,8,386,1211
zip_388,30,ch_city_geneve_10,1987-12-15,388,6621,0,2,10,388,1211
zip_389,30,ch_city_geneve_11,1999-09-23,389,6621,0,2,11,389,1211
zip_390,30,ch_city_geneve_12,1986-05-21,390,6621,0,2,12,390,1211
zip_391,30,ch_city_geneve_13,1986-05-21,391,6621,0,2,13,391,1211
zip_393,30,ch_city_geneve_17,1986-05-21,393,6621,0,2,17,393,1211
zip_395,30,ch_city_geneve_19,1986-05-21,395,6621,0,2,19,395,1211
zip_396,30,ch_city_geneve_20,1987-12-15,396,6621,0,2,20,396,1211
zip_397,30,ch_city_geneve_21,1988-12-15,397,6621,0,2,21,397,1211
zip_398,30,ch_city_geneve_22,1996-10-15,398,6621,0,2,22,398,1211
zip_399,30,ch_city_geneve_23,1994-02-09,399,6630,0,2,23,399,1211
zip_402,30,ch_city_geneve_26,1986-05-21,402,6628,0,2,26,402,1211
zip_403,30,ch_city_geneve_27,1996-10-15,403,6634,0,2,27,403,1211
zip_404,30,ch_city_geneve_28,1986-05-21,404,6621,0,2,28,404,1211
zip_408,40,ch_city_geneve_2_swisscom,2003-05-01,408,6621,0,2,65,381,1211
npa_1212 Grand-Lancy,20,ch_city_grand_lancy,1988-10-01,411,6628,1,2,0,7337,1212
zip_412,30,ch_city_grand_lancy_1,1996-06-10,412,6628,0,2,1,412,1212
npa_1213 Petit-Lancy,20,ch_city_petit_lancy,1988-12-22,415,6628,1,2,0,7166,1213
zip_416,30,ch_city_petit_lancy_1,1996-06-10,416,6628,0,2,1,416,1213
zip_417,80,ch_city_petit_lancy_2,2013-04-01,417,6628,0,2,2,7166,1213
npa_1213 Onex,10,ch_city_onex,1996-06-10,418,6631,1,2,3,7166,1213
npa_1214 Vernier,10,ch_city_vernier,1988-12-22,420,6643,1,2,0,7668,1214
zip_421,20,ch_city_geneve_15_aeroport,2010-05-01,421,6630,1,2,0,422,1215
zip_422,30,ch_city_geneve_15_aeroport_depot,1998-03-02,422,6630,0,2,68,422,1215
npa_1216 Cointrin,10,ch_city_cointrin,1996-06-10,423,6630,1,2,0,7165,1216
npa_1217 Meyrin,20,ch_city_meyrin,1986-05-21,424,6630,1,2,0,7168,1217
zip_425,30,ch_city_meyrin_1,1996-06-10,425,6630,0,2,1,425,1217
zip_426,30,ch_city_meyrin_2,1996-06-10,426,6630,0,2,2,426,1217
npa_1218 Le Grand-Saconnex,10,ch_city_le_grand_saconnex,1996-06-10,428,6623,1,2,0,7165,1218
npa_1219 Le Lignon,10,ch_city_le_lignon,1996-06-10,429,6643,1,2,0,7167,1219
npa_1219 Are,10,ch_city_aire,2009-09-01,430,6643,1,2,10,7167,1219
npa_1219 Chtelaine,10,ch_city_chatelaine,2009-09-01,432,6643,1,2,12,7167,1219
npa_1220 Les Avanchets,20,ch_city_les_avanchets,1988-09-01,435,6643,1,2,0,7668,1220
npa_1222 Vsenaz,10,ch_city_vesenaz,1988-09-01,436,6616,1,2,0,7741,1222
npa_1223 Cologny,10,ch_city_cologny,1986-05-21,438,6617,1,2,0,8020,1223
npa_1224 Chne-Bougeries,10,ch_city_chene_bougeries,1996-06-10,439,6612,1,2,0,7163,1224
npa_1225 Chne-Bourg,10,ch_city_chene_bourg,1996-06-10,440,6613,1,2,0,7163,1225
npa_1226 Thnex,10,ch_city_thonex,1996-06-10,442,6640,1,2,0,7163,1226
npa_1227 Carouge GE,10,ch_city_carouge_ge,1993-06-10,443,6608,1,2,0,7162,1227
npa_1227 Les Acacias,20,ch_city_les_acacias,1988-09-01,444,6608,1,2,4,7162,1227
npa_1228 Plan-les-Ouates,10,ch_city_plan_les_ouates,1996-06-10,447,6633,1,2,0,7337,1228
npa_1231 Conches,10,ch_city_conches,1996-06-10,448,6612,1,2,0,7163,1231
npa_1232 Confignon,10,ch_city_confignon,1996-06-10,449,6618,1,2,0,7667,1232
npa_1233 Bernex,10,ch_city_bernex,1988-11-01,450,6607,1,2,0,7667,1233
npa_1234 Vessy,10,ch_city_vessy,1993-06-10,452,6645,1,2,0,7162,1234
npa_1236 Cartigny,10,ch_city_cartigny,1996-08-06,453,6609,0,2,0,7166,1236
npa_1237 Avully,10,ch_city_avully,1994-05-10,454,6603,1,2,0,7166,1237
npa_1239 Collex,10,ch_city_collex,1996-08-06,455,6615,0,2,0,7169,1239
npa_1241 Puplinge,10,ch_city_puplinge,1993-08-05,456,6636,1,2,0,7163,1241
npa_1242 Satigny,10,ch_city_satigny,1996-08-06,457,6638,1,2,0,7168,1242
npa_1243 Presinge,20,ch_city_presinge,2001-08-13,458,6635,0,2,0,7163,1243
npa_1244 Choulex,20,ch_city_choulex,2001-07-01,459,6614,1,2,0,7741,1244
npa_1245 Collonge-Bellerive,10,ch_city_collonge_bellerive,1986-05-21,460,6616,1,2,0,7741,1245
npa_1246 Corsier GE,10,ch_city_corsier_ge,2002-02-01,461,6619,1,2,0,7741,1246
npa_1247 Anires,10,ch_city_anieres,2002-02-01,462,6602,1,2,0,7741,1247
npa_1248 Hermance,10,ch_city_hermance,1986-05-21,463,6625,0,2,0,7741,1248
npa_1251 Gy,20,ch_city_gy,2011-12-01,464,6624,1,2,0,7163,1251
npa_1252 Meinier,10,ch_city_meinier,2008-11-01,465,6629,1,2,0,7163,1252
npa_1253 Vandoeuvres,10,ch_city_vandoeuvres,1986-05-21,466,6642,1,2,0,8020,1253
npa_1254 Jussy,10,ch_city_jussy,1986-05-21,467,6626,0,2,0,7163,1254
npa_1255 Veyrier,10,ch_city_veyrier,1986-05-21,468,6645,1,2,0,7162,1255
npa_1256 Troinex,10,ch_city_troinex,1986-05-21,469,6641,1,2,0,7162,1256
npa_1257 La Croix-de-Rozon,10,ch_city_la_croix_de_rozon,1994-12-21,470,6605,1,2,0,7337,1257
npa_1258 Perly,10,ch_city_perly,1986-05-21,471,6632,1,2,0,7337,1258
npa_1260 Nyon,20,ch_city_nyon,1994-12-21,472,5724,1,2,0,473,1260
zip_473,80,ch_city_nyon_1_distribution,1999-04-08,473,5724,0,2,60,473,1260
npa_1277 Borex,10,ch_city_borex,1996-08-06,478,5706,0,2,0,478,1277
npa_1278 La Rippe,20,ch_city_la_rippe,2003-09-01,479,5726,0,2,0,484,1278
npa_1279 Chavannes-de-Bogis,10,ch_city_chavannes_de_bogis,1994-12-20,480,5707,1,2,0,523,1279
npa_1274 Grens,20,ch_city_grens,1998-08-18,482,5722,0,2,3,484,1274
npa_1275 Chserex,20,ch_city_cheserex,2003-10-01,483,5709,0,2,0,484,1275
npa_1276 Gingins,10,ch_city_gingins,1996-08-06,484,5719,0,2,0,484,1276
npa_1270 Trlex,10,ch_city_trelex,1996-08-06,485,5730,0,2,0,473,1270
npa_1271 Givrins,20,ch_city_givrins,2003-07-01,486,5720,0,2,0,473,1271
npa_1272 Genolier,10,ch_city_genolier,1996-08-06,487,5718,0,2,0,7164,1272
npa_1273 Le Muids,20,ch_city_le_muids,2002-11-01,488,5702,0,2,2,7164,1273
npa_1273 Arzier,10,ch_city_arzier,1996-08-06,489,5702,0,2,0,7164,1273
npa_1268 Burtigny,20,ch_city_burtigny,2004-08-01,490,5854,0,2,2,7164,1268
npa_1261 Marchissy,10,ch_city_marchissy,1986-05-21,491,5430,0,2,32,7164,1261
npa_1261 Le Vaud,10,ch_city_le_vaud,1996-08-06,492,5731,0,2,33,7164,1261
npa_1269 Bassins,20,ch_city_bassins,2002-02-01,493,5703,0,2,0,7164,1269
npa_1261 Longirod,20,ch_city_longirod,2001-12-01,494,5429,0,2,35,7164,1261
npa_1188 St-George,10,ch_city_st_george,2002-05-01,495,5434,0,2,2,7164,1188
npa_1262 Eysins,20,ch_city_eysins,2004-09-01,496,5716,0,2,0,473,1262
npa_1263 Crassier,20,ch_city_crassier,2002-07-01,497,5714,0,2,0,478,1263
npa_1264 St-Cergue,10,ch_city_st_cergue,1996-08-06,498,5727,0,2,0,7164,1264
npa_1265 La Cure,20,ch_city_la_cure,2011-12-01,500,5727,0,2,0,7164,1265
npa_1266 Duillier,10,ch_city_duillier,1996-08-06,501,5715,0,2,0,473,1266
zip_503,30,ch_city_vich_coinsins,2005-03-01,503,5732,0,2,0,503,1267
npa_1268 Begnins,10,ch_city_begnins,1993-06-18,504,5704,1,2,0,7164,1268
npa_1281 Russin,20,ch_city_russin,2003-10-01,506,6637,1,2,0,7168,1281
npa_1283 Dardagny,20,ch_city_dardagny,2003-10-01,507,6620,1,2,1,7168,1283
